Reference, Quantity, Value, Footprint, Datasheet, MPN, Manuf, VPN, Vendor
C1 C6 C9 C3 ,4,"100n","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1049_GOLDMAX_C0G.pdf","C315C103K5R5TA"," KEMET","C315C103K5R5TA","TME"
C4 C2 ,2,"22p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1049_GOLDMAX_C0G.pdf","C315C229D2G5TA"," KEMET","C315C229D2G5TA","TME"
C5 ,1,"10µ","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://products.nichicon.co.jp/en/pdf/XJA043/e-uvz.pdf","UVZ2A100MED","NICHICON","UVZ2A100MED","TME"
C7 ,1,"100n","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1049_GOLDMAX_C0G.pdf","C315C103K5R5TA"," KEMET","C315C103K5R5TA","TME"
C8 ,1,"1µ","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://products.nichicon.co.jp/en/pdf/XJA043/e-uvz.pdf","UVZ2C010MED","NICHICON","UVZ2C010MED","TME"
D1 ,1,"LED","LED_THT:LED_D5.0mm","https://www.vishay.com/docs/83012/tlhg540.pdf","TLHY5400-AS12Z","VISHAY","TLHY5400-AS12Z","TME"
D3 D2 ,2,"1N4007","Diode_THT:D_DO-15_P12.70mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1N4007-E3/54","VISHAY","1N4007-E3/54","TME"
J1 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","67996-206HLF","AMPHENOL","67996-206HLF","TME"
J5 J4 J2 J3 ,4,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.molex.com/webdocs/datasheets/pdf/en-us/0901200763_PCB_HEADERS.pdf","MX-90120-0763","MOLEX","90120-0763","TME"
R1 ,1,"2K2","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","https://www.tme.eu/Document/438bd25d6e61fdb2be01c567fad4b7c7/VISHAY_mbxsma.pdf","MBA02040C2201FCT00","VISHAY","MBA02040C2201FCT00","TME"
R5 R4 R2 R3 ,4,"390R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","https://www.tme.eu/Document/438bd25d6e61fdb2be01c567fad4b7c7/VISHAY_mbxsma.pdf","MBA02040C3900FC100 ","VISHAY","MBA02040C3900FC100 ","TME"
SW1 ,1,"BD09AV","manuf:BD09AV","https://www.tme.eu/Document/c61a0c6c0d86858ea1d40377c71c4c58/BDseries.pdf","BD09AV","C&K","BD09AV","TME"
